dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat__all,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",app_proto,Application protocol,all
frame_len__all,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",app_proto,Application protocol,all
flow_duration__all,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",app_proto,Application protocol,all
flow_byte_sum__all,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",app_proto,Application protocol,all
iat__http,poisson,5697,"{'lambda': 37320.42371160358, 'mean_iat': 2.6794979813937167e-05, 'scale': 2.6794979813937167e-05}",0.5998282369226364,0.0,-108552.01071936317,-108545.36302436369,54277.005359681585,Inter-arrival time,"best=poisson (lambda=3.732e+04, mean_iat=2.679e-05, scale=2.679e-05); KS D=0.5998, p=0.00e+00; AIC=-108552.0, BIC=-108545.4",app_proto,Application protocol,http
iat__tls,poisson,993,"{'lambda': 36941.96428571428, 'mean_iat': 2.7069486404833838e-05, 'scale': 2.7069486404833838e-05}",0.5796434470766325,4.2314934e-317,-18898.967406761505,-18894.06667609746,9450.483703380753,Inter-arrival time,"best=poisson (lambda=3.694e+04, mean_iat=2.707e-05, scale=2.707e-05); KS D=0.5796, p=4.23e-317; AIC=-18899.0, BIC=-18894.1",app_proto,Application protocol,tls
iat__dns,poisson,222,"{'lambda': 27570.789865871833, 'mean_iat': 3.627027027027027e-05, 'scale': 3.627027027027027e-05}",0.5919466463057105,1.1076929096669773e-74,-4093.683395966131,-4090.2807185842585,2047.8416979830654,Inter-arrival time,"best=poisson (lambda=2.757e+04, mean_iat=3.627e-05, scale=3.627e-05); KS D=0.5919, p=1.11e-74; AIC=-4093.7, BIC=-4090.3",app_proto,Application protocol,dns
iat__rdp,poisson,125,"{'lambda': 34818.94150417828, 'mean_iat': 2.8719999999999996e-05, 'scale': 2.8719999999999996e-05}",0.6139880822272403,7.617394292072972e-46,-2362.4792034460625,-2359.65088970876,1182.2396017230312,Inter-arrival time,"best=poisson (lambda=3.482e+04, mean_iat=2.872e-05, scale=2.872e-05); KS D=0.6140, p=7.62e-46; AIC=-2362.5, BIC=-2359.7",app_proto,Application protocol,rdp
frame_len__http,gamma,5698,"{'shape': 0.7155588751982344, 'loc': 0.0, 'scale': 1134.6279789600794}",0.31412869117769304,0.0,87264.80745604928,87278.1031970794,-43630.40372802464,Packet size,"best=gamma (shape=0.7156, loc=0, scale=1135); KS D=0.3141, p=0.00e+00; AIC=87264.8, BIC=87278.1",app_proto,Application protocol,http
frame_len__tls,gamma,993,"{'shape': 0.7278888848095565, 'loc': 0.0, 'scale': 1071.6308679253384}",0.274689898251294,1.0399302200368723e-66,15140.529983885976,15150.331445214066,-7568.264991942988,Packet size,"best=gamma (shape=0.7279, loc=0, scale=1072); KS D=0.2747, p=1.04e-66; AIC=15140.5, BIC=15150.3",app_proto,Application protocol,tls
