dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat__all,poisson,99999,"{'lambda': 34871.73871879254, 'mean_iat': 2.8676516765167643e-05, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,Inter-arrival time,"best=poisson (lambda=3.487e+04, mean_iat=2.868e-05, scale=2.868e-05); KS D=0.5954, p=0.00e+00; AIC=-1891865.5, BIC=-1891856.0",transport_proto,Transport protocol,all
frame_len__all,gamma,100000,"{'shape': 0.7084071609636651, 'loc': 0.0, 'scale': 1010.596489490766}",0.25517300523418396,0.0,1505712.97829041,1505732.00414134,-752854.489145205,Packet size,"best=gamma (shape=0.7084, loc=0, scale=1011); KS D=0.2552, p=0.00e+00; AIC=1505713.0, BIC=1505732.0",transport_proto,Transport protocol,all
flow_duration__all,gamma,4436,"{'shape': 0.41670492253284475, 'loc': 0.0, 'scale': 1.6628482264977906}",0.07892519016362498,1.7562056264448113e-24,2261.427723074028,2274.2227397709685,-1128.713861537014,Flow duration,"best=gamma (shape=0.4167, loc=0, scale=1.663); KS D=0.0789, p=1.76e-24; AIC=2261.4, BIC=2274.2",transport_proto,Transport protocol,all
flow_byte_sum__all,pareto,12382,"{'shape': 0.8286870178633445, 'loc': 0.0, 'scale': 60.0}",0.333393641457483,0.0,160697.23709697544,160712.0850951436,-80346.61854848772,Flow size,"best=pareto (shape=0.8287, loc=0, scale=60); KS D=0.3334, p=0.00e+00; AIC=160697.2, BIC=160712.1",transport_proto,Transport protocol,all
flow_throughput__all,lognormal,4436,"{'shape': 2.746490668452761, 'loc': 0.0, 'scale': 54523.77068543945}",0.08926217679843007,3.325866647210251e-31,118317.92720586181,118330.72222255875,-59156.963602930904,Flow throughput,"best=lognormal (shape=2.746, loc=0, scale=5.452e+04); KS D=0.0893, p=3.33e-31; AIC=118317.9, BIC=118330.7",transport_proto,Transport protocol,all
iat__tcp,poisson,83445,"{'lambda': 35662.13095816574, 'mean_iat': 2.804094912816826e-05, 'scale': 2.804094912816826e-05}",0.5943431983118468,0.0,-1582423.0531865617,-1582413.7212435505,791212.5265932808,Inter-arrival time,"best=poisson (lambda=3.566e+04, mean_iat=2.804e-05, scale=2.804e-05); KS D=0.5943, p=0.00e+00; AIC=-1582423.1, BIC=-1582413.7",transport_proto,Transport protocol,tcp
iat__udp,poisson,9361,"{'lambda': 27889.170266646805, 'mean_iat': 3.5856211943168463e-05, 'scale': 3.5856211943168463e-05}",0.593053454521125,0.0,-172914.27461248185,-172907.13030508047,86458.13730624093,Inter-arrival time,"best=poisson (lambda=2.789e+04, mean_iat=3.586e-05, scale=3.586e-05); KS D=0.5931, p=0.00e+00; AIC=-172914.3, BIC=-172907.1",transport_proto,Transport protocol,udp
frame_len__tcp,gamma,83446,"{'shape': 0.714409713962809, 'loc': 0.0, 'scale': 1088.1940346663403}",0.29201097885043426,0.0,1270604.7694173672,1270623.4333273573,-635300.3847086836,Packet size,"best=gamma (shape=0.7144, loc=0, scale=1088); KS D=0.2920, p=0.00e+00; AIC=1270604.8, BIC=1270623.4",transport_proto,Transport protocol,tcp
frame_len__udp,lognormal,9361,"{'shape': 1.1457143661863738, 'loc': 0.0, 'scale': 274.33352332688736}",0.1587508599682823,1.5265479315265376e-206,134227.8495442599,134242.13815906263,-67111.92477212995,Packet size,"best=lognormal (shape=1.146, loc=0, scale=274.3); KS D=0.1588, p=1.53e-206; AIC=134227.8, BIC=134242.1",transport_proto,Transport protocol,udp
flow_duration__tcp,gamma,3032,"{'shape': 0.4999278546547617, 'loc': 0.0, 'scale': 1.2769962971871582}",0.055047728386826006,1.994911935291503e-08,2034.6542010843052,2046.6881565778297,-1015.3271005421526,Flow duration,"best=gamma (shape=0.4999, loc=0, scale=1.277); KS D=0.0550, p=1.99e-08; AIC=2034.7, BIC=2046.7",transport_proto,Transport protocol,tcp
flow_duration__udp,weibull,914,"{'shape': 0.38323050791364066, 'loc': 0.0, 'scale': 0.11469986687684355}",0.10885088657681802,6.923978541362747e-10,-2051.802772082215,-2042.167110939307,1027.9013860411076,Flow duration,"best=weibull (shape=0.3832, loc=0, scale=0.1147); KS D=0.1089, p=6.92e-10; AIC=-2051.8, BIC=-2042.2",transport_proto,Transport protocol,udp
flow_byte_sum__tcp,pareto,5051,"{'shape': 0.5096068475425125, 'loc': 0.0, 'scale': 60.0}",0.23121526008839188,6.767912207300242e-238,78100.11047968618,78113.16516273111,-39048.05523984309,Flow size,"best=pareto (shape=0.5096, loc=0, scale=60); KS D=0.2312, p=6.77e-238; AIC=78100.1, BIC=78113.2",transport_proto,Transport protocol,tcp
flow_byte_sum__udp,pareto,2305,"{'shape': 0.6576831637504504, 'loc': 0.0, 'scale': 60.0}",0.11835008393362789,1.3757168674475305e-28,32430.120027018835,32441.605698929696,-16213.060013509417,Flow size,"best=pareto (shape=0.6577, loc=0, scale=60); KS D=0.1184, p=1.38e-28; AIC=32430.1, BIC=32441.6",transport_proto,Transport protocol,udp
flow_throughput__tcp,lognormal,3032,"{'shape': 2.3392223839319133, 'loc': 0.0, 'scale': 60657.42244432715}",0.10147649810186021,1.2362453309345708e-27,80544.55856805442,80556.59252354794,-40270.27928402721,Flow throughput,"best=lognormal (shape=2.339, loc=0, scale=6.066e+04); KS D=0.1015, p=1.24e-27; AIC=80544.6, BIC=80556.6",transport_proto,Transport protocol,tcp
flow_throughput__udp,lognormal,914,"{'shape': 3.192559780822702, 'loc': 0.0, 'scale': 177582.43076375447}",0.0989662833252441,3.030812825254153e-08,26815.187791899334,26824.82345304224,-13405.593895949667,Flow throughput,"best=lognormal (shape=3.193, loc=0, scale=1.776e+05); KS D=0.0990, p=3.03e-08; AIC=26815.2, BIC=26824.8",transport_proto,Transport protocol,udp
