dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat,poisson,4572,"{'lambda': 32.37900351647876, 'mean_iat': 0.03088421172353456, 'scale': 0.03088421172353456}",0.5780723709530682,0.0,-22652.353022963554,-22645.92531693864,11327.176511481777,Inter-arrival time,"best=poisson (lambda=32.38, mean_iat=0.03088, scale=0.03088); KS D=0.5781, p=0.00e+00; AIC=-22652.4, BIC=-22645.9",all,All traffic,all
frame_len,lognormal,10000,"{'shape': 0.11717683657411601, 'loc': 0.0, 'scale': 91.49059294451735}",0.21685059030381426,0.0,75826.07258652321,75840.49326726716,-37911.036293261604,Packet size,"best=lognormal (shape=0.1172, loc=0, scale=91.49); KS D=0.2169, p=0.00e+00; AIC=75826.1, BIC=75840.5",all,All traffic,all
flow_duration,gamma,777,"{'shape': 0.12047345581419341, 'loc': 0.0, 'scale': 686253497.373665}",0.25918944092165136,1.573258800484764e-46,23123.620915964915,23132.93179666565,-11559.810457982458,Flow duration,"best=gamma (shape=0.1205, loc=0, scale=6.863e+08); KS D=0.2592, p=1.57e-46; AIC=23123.6, BIC=23132.9",all,All traffic,all
flow_byte_sum,pareto,1296,"{'shape': 0.8200471350599358, 'loc': 0.0, 'scale': 66.0}",0.14805072223213817,2.927510052595692e-25,17130.614857705856,17140.94893345968,-8563.307428852928,Flow size,"best=pareto (shape=0.82, loc=0, scale=66); KS D=0.1481, p=2.93e-25; AIC=17130.6, BIC=17140.9",all,All traffic,all
flow_throughput,pareto,777,"{'shape': 0.1097911713782775, 'loc': 0.0, 'scale': 2.8674944696589004e-06}",0.22956163217598868,1.7757745100287714e-36,-687.0580123639159,-677.7471316631805,345.5290061819579,Flow throughput,"best=pareto (shape=0.1098, loc=0, scale=2.867e-06); KS D=0.2296, p=1.78e-36; AIC=-687.1, BIC=-677.7",all,All traffic,all
iat__all,poisson,4572,"{'lambda': 32.37900351647876, 'mean_iat': 0.03088421172353456, 'scale': 0.03088421172353456}",0.5780723709530682,0.0,-22652.353022963554,-22645.92531693864,11327.176511481777,Inter-arrival time,"best=poisson (lambda=32.38, mean_iat=0.03088, scale=0.03088); KS D=0.5781, p=0.00e+00; AIC=-22652.4, BIC=-22645.9",transport_proto,Transport protocol,all
frame_len__all,lognormal,10000,"{'shape': 0.11717683657411601, 'loc': 0.0, 'scale': 91.49059294451735}",0.21685059030381426,0.0,75826.07258652321,75840.49326726716,-37911.036293261604,Packet size,"best=lognormal (shape=0.1172, loc=0, scale=91.49); KS D=0.2169, p=0.00e+00; AIC=75826.1, BIC=75840.5",transport_proto,Transport protocol,all
flow_duration__all,gamma,777,"{'shape': 0.12047345581419341, 'loc': 0.0, 'scale': 686253497.373665}",0.25918944092165136,1.573258800484764e-46,23123.620915964915,23132.93179666565,-11559.810457982458,Flow duration,"best=gamma (shape=0.1205, loc=0, scale=6.863e+08); KS D=0.2592, p=1.57e-46; AIC=23123.6, BIC=23132.9",transport_proto,Transport protocol,all
flow_byte_sum__all,pareto,1296,"{'shape': 0.8200471350599358, 'loc': 0.0, 'scale': 66.0}",0.14805072223213817,2.927510052595692e-25,17130.614857705856,17140.94893345968,-8563.307428852928,Flow size,"best=pareto (shape=0.82, loc=0, scale=66); KS D=0.1481, p=2.93e-25; AIC=17130.6, BIC=17140.9",transport_proto,Transport protocol,all
flow_throughput__all,pareto,777,"{'shape': 0.1097911713782775, 'loc': 0.0, 'scale': 2.8674944696589004e-06}",0.22956163217598868,1.7757745100287714e-36,-687.0580123639159,-677.7471316631805,345.5290061819579,Flow throughput,"best=pareto (shape=0.1098, loc=0, scale=2.867e-06); KS D=0.2296, p=1.78e-36; AIC=-687.1, BIC=-677.7",transport_proto,Transport protocol,all
iat__tcp,poisson,3731,"{'lambda': 33.93906977294208, 'mean_iat': 0.029464567140176895, 'scale': 0.029464567140176895}",0.5788267950607661,0.0,-18836.317845475794,-18830.093413902574,9419.158922737897,Inter-arrival time,"best=poisson (lambda=33.94, mean_iat=0.02946, scale=0.02946); KS D=0.5788, p=0.00e+00; AIC=-18836.3, BIC=-18830.1",transport_proto,Transport protocol,tcp
iat__udp,poisson,716,"{'lambda': 24.81850256802176, 'mean_iat': 0.04029251955307263, 'scale': 0.04029251955307263}",0.570570782323438,5.611156255507332e-221,-3164.9960870862774,-3160.422406919317,1583.4980435431387,Inter-arrival time,"best=poisson (lambda=24.82, mean_iat=0.04029, scale=0.04029); KS D=0.5706, p=5.61e-221; AIC=-3165.0, BIC=-3160.4",transport_proto,Transport protocol,udp
